200,NUTUR001.01,Atención a comensales
201,NUOPT001.01,Práctica de examen de refracción
202,NUOPT002.01,Adaptación de lentes de contacto
203,NUTUR002.01,Limpieza de cocinas industriales
204,NUTUR003.01,Preparación de alimentos
205,NUSPV004.01,Vigilancia presencial de bienes y personas
206,NUASS010.01,Prestación del servicio de orientac ión para la inte gración familiar a nivel preventivo
207,NUTUR004.01,Preparación y servicio de bebidas
208,NCASS007.01,Cuidado de las niñas y los niños en centr os de atención infantil
209,NUASS004.01,Promoción de servicios de asistencia social
210,NUASS005.01,Atención a personas adultas mayores
211,NUASS006.01,Cuidado de niñas, niños y adolescentes en cas as hogar, albergues e internados
212,NUGCH001.01,Impartición de cursos de capacitación presenciales
213,NUGCH002.01,Diseño de cursos de capacitación presenciales, sus instrumentos de evaluación y material didáctico
214,NUSPV001.01,Adiestramiento de perros en el nivel básico de obediencia
215,NUSPV002.01,Conducción de perros de seguridad
216,NUTUR005.01,Coordinación de los servicios de alimentos y bebidas
217,NURUR001.01,Coordinación de acciones para el desarrollo rural sustentable municipal
218,NUSPV005.01,Coordinación de servicios de vigilancia de bienes y personas
219,NUTUR006.01,Preparación de habitaciones para alojamiento temporal
220,NUTUR007.01,Coordinación de los servicios de limpieza de habitaciones y áreas de estancia para alojamiento temporal
221,NUGCH003.01,Diseño de cursos de capacitación para ser impartidos mediante Internet
222,NUOPT003.01,Venta de productos ópticos
223,NUGCH004.01,Uso didáctico de las tecnologías de inform ación y comunicación en procesos de aprendizaje nivel básico
224,NUSTC001.01,Preparación de órganos para ajuste en banco
225,NUSTC002.01,Preparación del mantenimiento mayor de caja
226,NUSTC005.01,Desarmado del boguie
227,NUSTC004.01,Preparación del diferencial para su mante nimiento
228,NUSTC003.01,Preparación del motocompresor para su mantenimiento mayor
229,NUTUR008.01,Preparación de bebi das con base de café
230,NUOPT004.01,Obtención de lentes oftálmicas graduadas
231,NUTUR009.01,Prestación del servicio de recepción y atención al huésped para su alojamiento temporal
232,NUSTC006.01,Preparación del enganche del tren para su mantenimiento mayor
233,NUSPV006.01,Consultoría en sistemas de gestión de la seguridad
234,NUTUR010.01,Prestación de servicios cosmetológicos faciales
235,NUSPV007.01,Custodia de mercancías en movimiento
236,NUSIM005.01,Instalación del sistema de calentamiento solar de agua
237,NUSIM006.01,Instalación y mantenimiento de sistemas de aire acondicionado y refrigeración comercial
238,NURUR002.01,Cosecha de hortalizas
239,NUASS011.01,Asis tencia vía telefónica a víctimas y personas relacionadas en si tuaciones de violencia de género
240,NUOPT005.01,Biselado y montaje de lentes oftálmicas graduadas
241,NUOPT006.01,Supervisión de puntos de venta de productos ópticos
242,NUSPV008.01,Auditoría de los sistemas de gestión de la seguridad
243,NUTUR011.01,Supervisión de las condiciones de registro y estancia del huésped
244,NURUR003.01,Consultoría a empresas rurales
245,NUIVC002.01,Asesoría en materia hipotecaria por vía judicial
246,NUIVC001.01,Asesoría en materia hipotecaria por vía extrajudicial
247,NURUR004.01,Coordinación de acciones para la puesta en marcha de proyectos de inversión del sector rural
248,NUINL001.01,Interpre tación oral de len gua indígena al español y viceversa en el á mbito de procuración y administración de justicia
249,NUIPD001.01,Prestación de servicios de interpretación de la lengua de señas mexic ana al español y vicev ersa
250,NURUR005.01,Tutoría de cursos de formación en línea
251,NURUR006.01,Formulación del diseño de proyectos de inversión del sector rural
252,NUTUR012.01,Prestación de servicios estéticos corporales
253,NUINL002.01,Prestación de servicios de traducción de textos de lengua española a lengua indígena y viceversa en el ámbito de procuración y administración de justicia
254,NUSPV009.01,Prestación de servicios de instalación y mantenimiento de dispositivos de geolocalización
255,NUIAZ001.01,Implementación de medidas de seguridad en el trabajo y conservación del medio ambiente en el ingenio azucarero
256,NUIRN001.01,Atención a comensales en servicio de especialidades
257,NUAOP001.01,Inspección de obra pública federal
258,NUACP001.01,Asesoría y suministro de crédito en instituciones de a horro y crédito popular
259,NUSPV010.01,Gestionar la conformidad de los sistemas de gestión de la seguridad
260,NUSPV011.01,Monitoreo de los sistemas de geolocaliza ción
261,NUACH001.01,Asistencia primar ia de un evento adverso
262,NUIAZ002.01,Aplicación de medid as de seguri dad alimentaria y calidad en el ingenio azucarero
263,NUTIC001.01,Elaboración de doc umentos mediante un procesador de textos
264,NUTIC002.01,Elaboración de presentaciones gráficas medi ante herramientas de cómputo
265,NUTIC003.01,Elaboración de libros mediante el uso de procesadores de hojas de cálculo
266,NUASS012.01,Supervisión de establecimientos/espacios de atención infantil
267,EC0030,Recuperación de los créditos otorgados a los socios/usuarios de las instituciones de ahorro y crédito popular
268,EC0031,Generación de Valor Social y Económico a los Grupos de Interés del Ingenio Azucarero
269,EC0032,Vigilancia del cumpl imiento de la normativi dad en seguridad y salud en el trabajo
273,EC0036,Asesoría para la organización vecinal en zonas habitacionales
276,EC0072,Atención in situ al visitante durante recorridos turísticos
277,EC0073,Atención de colisión en crucero a los usuarios de seguros de autos1
278,EC0074,Coordinación de grupos técnicos de expertos para el desarrollo del Estándar de Competencia
280,EC0076,Evaluación de la competencia de candidatos con base en Estándares de Competencia
283,EC0079,Atención en su lengua materna a población hablan te de lenguas indígenas en programas sociales
284,EC0080,Prestación de servicios de consultoría para la implem entación del sist ema de gestión del mode lo de equidad de género
285,EC0081,Manejo higiénico de los alimentos
286,EC0091,Verificació n extern a de la operació n de los Centro s de Evaluació n y Evaluadore s Independientes
287,EC0092,Venta de pinturas, recubrimientos y complementos en establecimientos al menudeo
288,EC0137,Asesoría a la comunidad sobre participación comunitaria en el espacio público.
289,EC0106,Colaboración en el logro de objetivos comunes del ingenio azucarero mediante el trabajo en equipo.
292,EC0105,Atención al ciudadano en el sector público
293,EC0104,Ventas consultivas
294,EC0128,Preparación y servicio de bebidas
295,EC0129,Supervisión de la operación del fondo de aseguramiento agropecuario
298,EC0127,Preparación de alimentos
299,EC0103,Aplicación de pinturas decorativas en edificaciones
300,EC0126,Limpieza de cocinas industriales
301,EC0121,Elaboración de proyectos de aprendizaje integrando el uso de las tecnologías de la información y comunicación
304,EC0131,Asesoría y suministro de crédito en instituciones de ahorro y crédito popular.
305,EC0108,Manejo del procesador de hojas de cálculo digitales
307,EC0115,Venta de equipo de electrónica y cómputo de manera personalizada.
308,EC0107,Manejo de procesador de textos digitales
309,EC0109,Manejo de procesadores de presentaciones digitales.
311,EC0116,Dispensación y manejo de medicamentos en farmacias
312,EC0118,Realización de instalaciones eléctricas en edificación de vivienda.
313,EC0110,Asesoría en comercialización de bienes inmuebles
314,EC0132,Captación de Información Empresarial
315,EC0111,Construcción de muros y plafones a base de placas de yeso en interiores
316,EC0113,Prest ación de servic ios d igitales del promotor en un centro com unitario digital
317,EC0138,Envasado de conservas alimenticias
318,EC0130,Operación de fondos de aseguramiento agrícola
319,EC0112,Administración de inmuebles en condominio
320,EC0114,Obtención de cortes de carne y aves en tiendas de autoservicio.
321,EC0146,Prestación de servicios de manejo integrado de plagas urbanas, nivel Intermedio
322,EC0117,Aplicación de masaje Ayurveda Abhyanga
324,EC0123,Aplicación de Masaje Holístico
325,EC0124,Aplicación de Masaje Sueco
326,EC0125,Venta de mezcal en establecimientos de alimentos y bebidas
327,EC0093,Cosecha de cítricos
331,EC0120,Promoción de la lectura
332,EC0122,Aplicación de Masaje Tejido Profundo
339,NUCOM003.01,Venta de productos, mercancías y servicios de man era per sonali zada en piso
340,NUCOM004.01,Alma cenam iento de mer cancías en estable cimientos
341,NUCOM005.01,Registro y cobro de productos, mercancías y servicios en establecimientos
342,NUCOM006.01,Preparación de pescados y mariscos para su venta en tiendas de autoservicio
343,NUCOM007.01,Producción de pan bizcocho en tiendas de autoser vicio
344,NUCOM008.01,Producción de pan francés en tiendas de autoservicio
345,NUCOM010.01,Procesamiento de efectivo y documentos
350,CSAD0540.01,Representación del agente aduanal en los actos y formalidades del despacho aduanero
359,EC0140,Cuantificación del consumo de agua potable con medición
363,EC0141,Conservación del funcionamiento operativo de la red de alcantarillado.
365,EC0136,Manejo y Dispensación de Medicamentos Antibióticos en Farmacias
374,EC0135,Manejo y dispensación de medicamentos e insumos para la salud en farmacias.
375,EC0145,Conservación de la red de agua potable
378,EC0139,Operación de la Grúa Móvil
379,EC0133,Asesoría en materia de crédito de vivienda
385,EC0134,Operación de la retroexcavadora
400,CCFE0554.01,Cambio de aislamiento en líneas de transmisión energizadas
401,CCFE0555.01,Planeación del mantenimiento de equipos en el sector eléctrico
402,CCFE0556.01,Mantenimiento a generadores eléctricos
403,CCFE0557.01,Mantenimiento a interruptores de media tensión
404,CCFE0558.01,Mantenimiento mecánico a bombas centrífugas multipasos
405,CCFE0559.01,Mantenimiento a transformadores de potencia
406,CCFE0560.01,Mantenimiento a bancos y cargadores de baterías
407,CCFE0561.01,Mantenimiento mecánico a precalentador de aire regenerativo horizontal
408,CCFE0562.01,Mantenimiento a interruptores de instrumentación
409,CCFE0563.01,Mantenimiento a actuadores de elementos finales de control
410,CCFE0564.01,Mantenimiento a equipos de transmisión digital
411,CCFE0569.01,Supervisión del mantenimiento de los equipos en el sector eléctrico
412,CCFE0601.01,Operación de unidades de generación termoeléctrica
413,CCFE0602.01,Mantenimiento a elementos primarios de temperatura
414,CCFE0603.01,Mantenimiento a indicadores locales
415,CCFE0604.01,Mantenimiento a interruptores de baja tensión
416,CCFE0605.01,Mantenimiento mecánico a precalentador de aire regenerativo vertical
417,CCFE0606.01,Operación de generadores eléctricos en procesos de generación termoeléctrica
418,CCFE0607.01,Mantenimiento mecánico a intercambiadores de calor
419,CCFE0608.01,Mantenimiento a transmisores de instrumentación
420,CCFE0609.01,Mantenimiento a instrumentos de medición y control en tableros involucrados en procesos de generación de energía eléctrica
421,CCFE0610.01,Mantenimiento mecánico a ventilador centrífugo radial
422,CCFE0611.01,Facturación de la energía eléctrica consumida
423,CCFE0612.01,Ejecución de los procesos comerciales de campo en el sector eléctrico
424,CCFE0613.01,Configuración del sistema de control y adquisición de datos
425,CCFE0614.01,Integración de los equipos de medición de energía eléctrica
426,CCFE0615.01,Planeación del sistema eléctrico de distribución
427,CCFE0616.01,Mantenimiento a redes y líneas aéreas de distribución de energía eléctrica
428,CCFE0617.01,Mantenimiento a redes y líneas subterráneas de distribución de energía eléctrica
429,CCFE0618.01,Operación de unidades de generación hidroeléctrica
430,CCFE0619.01,Operación del sistema eléctrico de unidades de generación de energía eléctrica
431,CCFE0620.01,Operación de sistemas de combustible en unidades de generación eléctrica
432,CCFE0622.01,Mantenimiento mecánico a bombas de desplazamiento positivo
433,CCFE0623.01,Mantenimiento de las tuberías del generador de vapor mediante soldadura de código
434,CCFE0624.01,Mantenimiento al regulador automático de tensión (AVR)
435,CCFE0625.01,Mantenimiento a relevadores de sobrecorriente
436,CCFE0628.01,Mantenimiento mecánico a turbinas de vapor con cilindro de alta y baja presión
437,CCFE0629.01,Mantenimiento mecánico a compresores de aire reciprocantes y de tornillo
438,CCFE0631.01,Mantenimiento a transductores de instrumentación
439,CCFE0632.01,Mantenimiento a controladores de sistemas automatizados
440,CCFE0633.01,Mantenimiento a equipos de comunicación de ondas portadoras por líneas de alta tensión
441,CCFE0634.01,Mantenimiento al sistema de información y control local de estación
442,CCFE0659.01,Mantenimiento a los equipos de instrumentación y control de energía eléctrica
443,CCFE0660.01,Mantenimiento mecánico a equipo rotativo y de bloqueo de generación de energía eléctrica
444,CCFE0661.01,Mantenimiento eléctrico de equipos de generación de energía eléctrica
445,CCFE0670.01,Mantenimiento del sistema de control supervisorio y adquisición de datos en tiempo real de un centro de control de energía
446,CCFE0671.01,Evaluación de la operación del sistema eléctrico de potencia
447,CCHO0267.01,Recubrimiento de productos con chocolate o sustitutos, y confites
448,CCHO0268.01,Elaboración de productos de chocolate o confitería, a partir de derivados del cacao o grasas sustitutas
449,CCHO0323.01,Elaboración de caramelos y goma de mascar
450,CCHO0324.01,Elaboración de productos de chocolate y confitería por formado manual corte o troquelado
451,CCHO0350.01,Obtención de derivados del cacao a partir del grano
452,CCHO0351.01,Elaboración de productos de confitería por moldeo mecánico
453,CCHO0369.01,Elaboración de productos de chocolate y similares por moldeo o depositado mecánico
454,CCHO0531.01,Envoltura, envasado y empaque de productos de chocolate, similares y confitería
455,CCLZ0013.02,Supervisión de procesos de producción
456,CCLZ0021.01,Control y supervisión de la producción del producto (Calzado Nivel Dos)
457,CCLZ0049.02,Ejecución del corte del calzado
458,CCLZ0050.02,Pespunte del corte del calzado
459,CCLZ0097.01,Planeación y programación de la fabricación del producto
460,CCLZ0098.01,Coordinación de la elaboración de muestrarios
461,CCLZ0150.01,Diseño y rediseño de conceptos y del calzado
462,CCLZ0151.01,Desarrollo de los componentes del calzado
463,CCLZ0425.01,Esmerilado de la piel
464,CCLZ0430.01,Planeación del trabajo en procesos de producción
465,CCLZ0636.01,Terminado del calzado
466,CCLZ0637.01,Montado de calzado
467,CCLZ0638.01,Ensuelado de calzado
468,CCNS0068.02,Construcción de muros de piedra y/o piezas regulares
469,CCNS0069.02,Armado de elementos estructurales con acero de refuerzo
470,CCNS0070.02,Cimbrado de elementos estructurales
471,CCNS0071.02,Colado de elementos de concreto
