C¢digo,Nivel,T°tulo,ComitÇ,Sector Productivo
EC0001,2,Prestaci¢n de servicios de traducci¢n de textos de lengua espa§ola a lengua ind°gena y viceversa en el †mbito de procuraci¢n y administraci¢n de justicia,Atenci¢n de Asuntos Ind°genas,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0002,3,Asistencia primaria de un evento adverso,Administraci¢n P£blica del Gobierno del Estado de Chiapas,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0004,1,Preparaci¢n de ¢rganos para ajuste en banco,Sistema de Transporte Colectivo,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0007,2,Preparaci¢n del diferencial para su mantenimiento,Sistema de Transporte Colectivo,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0008,2,Desarmado del boguie,Sistema de Transporte Colectivo,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC0009,2,Asesor°a y suministro de crÇdito en instituciones de ahorro y crÇdito popular,Sector Ahorro y CrÇdito Popular,SERVICIOS FINANCIEROS Y DE SEGUROS
EC0010,2,Prestaci¢n de servicios estÇticos corporales,Masajes y Servicios de SPA,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0011,2,Elaboraci¢n de documentos mediante un procesador de textos,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0012,2,Elaboraci¢n de presentaciones gr†ficas mediante herramientas de c¢mputo,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0013,2,Elaboraci¢n de libros mediante el uso de procesadores de hojas de c†lculo,Tecnolog°as de la Informaci¢n y Comunicaciones,INFORMACI‡N EN MEDIOS MASIVOS
EC0015,3,Interpretaci¢n oral de lengua ind°gena al espa§ol y viceversa en el †mbito de procuraci¢n y administraci¢n de justicia,Atenci¢n de Asuntos Ind°genas,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0016,2,Atenci¢n a comensales en servicio de especialidades,Industria Restaurantera Nacional,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0017,1,Implementaci¢n de medidas de seguridad en el trabajo y conservaci¢n del medio ambiente en el ingenio azucarero,Industria Azucarera,INDUSTRIAS MANUFACTURERAS
EC0018,1,Aplicaci¢n de medidas de seguridad alimentaria y calidad en el ingenio azucarero,Industria Azucarera,INDUSTRIAS MANUFACTURERAS
EC0019,3,Tutor°a de cursos de formaci¢n en l°nea,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0020,3,Formulaci¢n del dise§o de proyectos de inversi¢n del sector rural,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0023,2,Monitoreo de los sistemas de geolocalizaci¢n,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0025,3,Promoci¢n de servicios de asistencia social,ComitÇ de Gesti¢n por Competencias de Asistencia Social,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0028,2,Prestaci¢n del servicio de orientaci¢n para la integraci¢n familiar a nivel preventivo,ComitÇ de Gesti¢n por Competencias de Asistencia Social,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0030,2,Recuperaci¢n de los crÇditos otorgados a los socios/usuarios de las instituciones de ahorro y crÇdito popular,Sector Ahorro y CrÇdito Popular,SERVICIOS FINANCIEROS Y DE SEGUROS
EC0031,1,Generaci¢n de Valor Social y Econ¢mico a los Grupos de InterÇs del Ingenio Azucarero,Industria Azucarera,INDUSTRIAS MANUFACTURERAS
EC0036,3,Asesor°a para la organizaci¢n vecinal en zonas habitacionales,Instituto del Fondo Nacional de Vivienda para los Trabajadores,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0038,2,Atenci¢n a comensales,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0042,3,Coordinaci¢n de los servicios de alimentos y bebidas,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0043,2,Preparaci¢n de habitaciones para alojamiento temporal,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0044,3,Coordinaci¢n de los servicios de limpieza de habitaciones y †reas de estancia para alojamiento temporal,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0045,2,Prestaci¢n del servicio de recepci¢n y atenci¢n al huÇsped para su alojamiento temporal,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0046,2,Prestaci¢n de servicios cosmetol¢gicos faciales,Masajes y Servicios de SPA,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC0047,3,Supervisi¢n de las condiciones de registro y estancia del huÇsped,ComitÇ de Gesti¢n por Competencias del Sector Turismo,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0049,3,"Dise§o de cursos de capacitaci¢n presenciales, sus instrumentos de evaluaci¢n y material did†ctico",Asociaci¢n Mexicana de Capacitaci¢n de Personal y Empresarial A.C. (AMECAP),SERVICIOS EDUCATIVOS
EC0050,3,Dise§o de cursos de capacitaci¢n para ser impartidos mediante Internet,Asociaci¢n Mexicana de Capacitaci¢n de Personal y Empresarial A.C. (AMECAP),SERVICIOS EDUCATIVOS
EC0051,4,Inspecci¢n de obra p£blica federal,Auditor°a a Obra P£blica,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0052,3,Pr†ctica de examen de refracci¢n,SECTOR ‡PTICO,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0053,3,Adaptaci¢n de lentes de contacto,SECTOR ‡PTICO,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0054,2,Venta de productos ¢pticos,SECTOR ‡PTICO,COMERCIO AL POR MENOR
EC0056,2,Biselado y montaje de lentes oft†lmicas graduadas,SECTOR ‡PTICO,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
EC0058,4,Adiestramiento de perros en el nivel b†sico de obediencia,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0059,2,Conducci¢n de perros de seguridad,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0060,2,Vigilancia presencial de bienes y personas,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0061,4,Coordinaci¢n de servicios de vigilancia de bienes y personas,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0062,5,Consultor°a en sistemas de gesti¢n de la seguridad,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0063,2,Custodia de mercanc°as en movimiento,Sector Seguridad Privada,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0065,2,Instalaci¢n del sistema de calentamiento solar de agua,Asociaci¢n Mexicana de Empresas del Ramo de Instalaciones para la Construcci¢n A.C. (AMERIC),CONSTRUCCI‡N
EC0067,4,Coordinaci¢n de acciones para el desarrollo rural sustentable municipal,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0068,1,Cosecha de hortalizas,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","AGRICULTURA, CR÷A Y EXPLOTACI‡N DE ANIMALES, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
EC0069,3,Consultor°a a empresas rurales,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0070,3,Coordinaci¢n de acciones para la puesta en marcha de proyectos de inversi¢n del sector rural,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0072,2,Atenci¢n in situ al visitante durante recorridos tur°sticos,Servicios Tur°sticos en Aguascalientes,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
EC0074,3,Coordinaci¢n de grupos tÇcnicos de expertos para el desarrollo del Est†ndar de Competencia,Consejo Nacional de Normalizaci¢n y Certificaci¢n de Competencias Laborales (CONOCER),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0076,3,Evaluaci¢n de la competencia de candidatos con base en Est†ndares de Competencia,Consejo Nacional de Normalizaci¢n y Certificaci¢n de Competencias Laborales (CONOCER),"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC0079,2,Atenci¢n en su lengua materna a poblaci¢n hablante de lenguas ind°genas en programas sociales,Atenci¢n de Asuntos Ind°genas,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC0081,2,Manejo higiÇnico de los alimentos,Turismo / Industria Restaurantera Nacional,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACI‡N DE ALIMENTOS Y BEBIDAS
EC0083.01,2,Asesor°a en materia hipotecaria por v°a judicial,Cobranza Social,"SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE RESIDUOS, Y SERVICIOS DE REMEDIACI‡N"
